,id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
31366,6e1662ecad04812ec6eca9b4def75e58,912595,MAA,Simon R. C.,Wadsworth EVP and CFO,2008,26354689,500,49039961,0,372270,6933258,119604908,
136657,691ec05a293cc7fcda1f50924157062f,798359,CSR,"Thomas A. Wentz, Jr.",Senior Vice President and Trustee,2008,26250008,0,0,0,39207,1995904,32166612,
31366,b892a99528e5784e992b0e7432a00162,912595,MAA,Simon R.C. Wadsworth,EVP and CFO,2007,25393699,0,500,72056,0,562496,100995985,0.0
31366,a0ba7d082f3fc478407a58bd42be8ee9,912595,MAA,Simon R. C.,Wadsworth EVP and CFO,2007,25393699,500,0,0,562496,10493393,92186692,
133367,886314b9fa3aa0bca3a1aac497f6e395,1120914,PDFS,John K. Kibarian,"Chief Executive Officer, President and Director",2007,25000008,0,0,371866,0,180,25389874,
31366,02aaf0b1faa0431c8f3c108e3e4e2fde,912595,MAA,Simon R.C. Wadsworth,EVP and CFO,2006,24669324,0,500,600180,0,297900,80825387,0.0
152774,30649db9638d56c250d8cd3e9db1762f,947559,FBMS,M. Ray Hoppy Cole,"Jr., President and Chief Executive Officer",2012,24598344,0,0,0,0,9142607,33740951,
31353,8ea394e773d63de45f72ab94e22b38b4,912595,MAA,"Albert M. Campbell, III",EVP and CFO EVP and CFO EVP and Treasurer,2011,24424635,500,11825559,0,200426,703942,57046736,
31353,0c558648a39aacb1953ac554ab75be42,912595,MAA,Albert M. Campbell,III EVP and CFO all years,2011,24424635,500,11825559,0,200426,703942,57046736,
136646,6e4069d819a32652c59337a2120a6eff,798359,CSR,"Thomas A. Wentz, Sr.",President and Chief Executive Officer,2008,23833336,0,0,0,35597,2571396,29964432,
31351,2231e00954412e5027c73a86b1d306aa,912595,MAA,"Thomas L. Grimes, Jr.",EVP and Director of Property Management Operations all years,2011,23391899,500,11751739,0,147218,682944,50598382,
136660,d64f48534fe39188ad193eff0b0d996f,798359,CSR,"Thomas A. Wentz, Jr.",Senior Vice President and Trustee,2007,23333336,0,0,0,68697,1838941,32041977,
136656,582c9159990057f7c76f441af1b9fb12,798359,CSR,"Thomas A. Wentz, Sr.",President and Chief Executive Officer,2007,21333336,0,0,0,60453,2082970,29461606,
31352,4b77e3db49645fe4ab56d3e0fb17a361,912595,MAA,Albert M. Campbell,III EVP and CFO all years,2010,20641584,500,188817,0,15606975,492138,55672397,
31351,5e977e19223fa27f37f46edf64cd2d34,912595,MAA,James Andrew Taylor,EVP and Director of Asset Management all years,2011,20442293,500,9944942,0,96875,580669,40705404,
152768,d830b16c7de362d762fcc32070f64e74,947559,FBMS,M. Ray Hoppy Cole,"Jr., President and Chief Executive Officer",2011,20392751,0,0,0,0,7382344,27775095,
133363,e77d0a2ab41f6640a81119993badcb1a,1120914,PDFS,Keith A. Jones,"Chief Financial Officer and Vice President, Finance",2007,20000016,0,0,25484136,0,785431,46269583,
152730,533360b888747b1e29407655fb7e7356,947559,FBMS,Donna T. Dee Dee Lowery,Chief Financial Officer,2017,19868702,0,12943250,0,24530,831486,38389638,
31350,a4c012c93452528824543ef845108660,912595,MAA,"Thomas L. Grimes, Jr.",EVP and Director of Property Management Operations all years,2010,19756597,500,187637,0,15509550,576759,54656606,
152780,5eec7771aaa1d6321da42fcc6bd927cf,947559,FBMS,David E. Johnson,Chairman of the Board,2008,19748628,0,0,0,0,1754585,21503213,
152776,364bb82f304f4428e7709c2667ba4930,947559,FBMS,David E. Johnson,Chairman of the Board,2009,18794746,0,0,0,0,1579032,20373778,
